"Species_ID"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"505292"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Casadabanvirus"	"Pseudomonas virus MP38"
"537874"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage PH15"
"559189"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Lubbockvirus"	"Clostridium virus phiCD27"
"563769"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Stx2-converting phage 1717"
"564886"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterobacteria phage YYZ-2008"
"575608"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus IPLA88"
"575610"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Triavirus"	"Staphylococcus virus IPLA35"
"590739"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Salmonella phage g341c"
"590745"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Gammaretrovirus"	"Mus musculus mobilized endogenous polytropic provirus"
"633135"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Moineauvirus"	"Streptococcus virus phiAbc2"
"644007"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage PH10"
"646413"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Streptococcus phage 5093"
"648017"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus phage phiPVL-CN125"
"663241"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterococcus phage phiEf11"
"665033"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Muvirus"	"Escherichia phage D108"
"668618"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus phage P954"
"673839"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Enterococcus phage phiFL4A"
"682370"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Brussowvirus"	"Streptococcus virus ALQ132"
"683735"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Aggregatibacter phage S1249"
"687347"	"Unclassified"	"Unclassified"	"Unclassified"	"Anelloviridae"	"Alphatorquevirus"	"Torque teno virus 8"
"687349"	"Unclassified"	"Unclassified"	"Unclassified"	"Anelloviridae"	"Alphatorquevirus"	"Torque teno virus 10"
"687351"	"Unclassified"	"Unclassified"	"Unclassified"	"Anelloviridae"	"Alphatorquevirus"	"Torque teno virus 12"
"687354"	"Unclassified"	"Unclassified"	"Unclassified"	"Anelloviridae"	"Alphatorquevirus"	"Torque teno virus 15"
"687369"	"Unclassified"	"Unclassified"	"Unclassified"	"Anelloviridae"	"Betatorquevirus"	"Torque teno mini virus 1"
"687373"	"Unclassified"	"Unclassified"	"Unclassified"	"Anelloviridae"	"Betatorquevirus"	"Torque teno mini virus 5"
"694060"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Unclassified"	"Staphylococcus phage SA1"
"714583"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Salmonella phage ST160"
"746830"	"Cossaviricota"	"Papovaviricetes"	"Sepolyvirales"	"Polyomaviridae"	"Deltapolyomavirus"	"Human polyomavirus 6"
"754051"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Roufvirus"	"Vibrio phage pYD38-A"
"872294"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Phietavirus"	"Staphylococcus virus SAP26"
"874267"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Biseptimavirus"	"Staphylococcus phage phi5967PVL"
"876449"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Lederbergvirus"	"Enterobacteria phage UAB_Phi20"
"906669"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Escherichia phage HK639"
"936054"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Oslovirus"	"Enterobacteria phage VT2phi_272"
"936152"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Riemerella phage RAP44"
"937835"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Casadabanvirus"	"Pseudomonas virus PA1KOR"
"947980"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage LF1"
"947981"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Lactobacillus phage Sha1"
"977801"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Unclassified"	"Enterococcus phage EF62phi"
"984175"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Cronobacter phage ENT39118"
"984186"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Unclassified"	"Cronobacter phage ENT47670"
"1005056"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Chivirus"	"Salmonella virus iEPS5"
"1051631"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Siphoviridae"	"Moineauvirus"	"Streptococcus phage YMC-2011"
"1054480"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Myoviridae"	"Tequatrovirus"	"Escherichia phage wV7"
"1054968"	"Uroviricota"	"Caudoviricetes"	"Caudovirales"	"Podoviridae"	"Unclassified"	"Salmonella phage 7-11"
